"transaction_date","post_date","type","details","amount","currency"
"2025-07-05","2025-07-05","Payment","From chequing account","-11995.89","CAD"
"2025-07-04","2025-07-05","Purchase","APPLE.COM/BILL","2.79","CAD"
"2025-07-06","2025-07-06","Purchase","SP HAJEX FITNESS","147.0","CAD"
"2025-07-06","2025-07-07","Purchase","TELUS PRE-AUTH PAYMENT","72.8","CAD"
"2025-07-06","2025-07-07","Purchase","THRIFTY FOODS #9484","14.58","CAD"
"2025-07-06","2025-07-07","Purchase","SAVE ON FOODS #2235","8.03","CAD"
"2025-07-06","2025-07-08","Purchase","SS SURREY 160TH","65.0","CAD"
"2025-07-07","2025-07-08","Purchase","TIM HORTONS #2816","10.48","CAD"
"2025-07-12","2025-07-12","Purchase","LS FIELDSTONE BREAD CO","8.0","CAD"
"2025-07-12","2025-07-12","Refund initiated","WALMART STORE #5853","-50.38","CAD"
"2025-07-13","2025-07-13","Purchase","SQ *DR. SUN YAT-SEN GARDE","16.0","CAD"
"2025-07-13","2025-07-14","Purchase","T&T SUPERMARKET #003","1.39","CAD"
"2025-07-12","2025-07-14","Purchase","WAL-MART SUPERCENTER#5853","135.83","CAD"
"2025-07-12","2025-07-14","Purchase","WAL-MART SUPERCENTER#5853","6.59","CAD"
"2025-07-12","2025-07-14","Refund settled","WALMART STORE #5853","50.38","CAD"
"2025-07-12","2025-07-14","Refund settled","WAL-MART SUPERCENTER#5853","-50.38","CAD"
"2025-07-13","2025-07-14","Purchase","AMAZON.CA*CY1U79S23","121.74","CAD"
"2025-07-15","2025-07-16","Purchase","RED ROOSTER FOOD STORE","22.02","CAD"
"2025-07-16","2025-07-16","Purchase","UBER CANADA/UBERTRIP","62.14","CAD"
"2025-07-16","2025-07-17","Purchase","TCM @ ST JOSEPH","10.62","CAD"
"2025-07-17","2025-07-17","Purchase","PETRO-CANADA 85601","17.41","CAD"
"2025-07-17","2025-07-17","Purchase","FARM & FIRE","65.67","CAD"
"2025-07-17","2025-07-17","Purchase","SUPERTRAVEL","131.02","CAD"
"2025-07-17","2025-07-18","Purchase","BANFF EXPLORERTM CA","119.04","CAD"
"2025-07-17","2025-07-18","Purchase","THE SPIRIT OF CHRISTMAS","2.8","CAD"
"2025-07-18","2025-07-18","Purchase","APPLE.COM/BILL","4.47","CAD"
"2025-07-17","2025-07-18","Purchase","LUPO ITALIAN (IN)","76.86","CAD"
"2025-07-18","2025-07-19","Purchase","WILD FLOUR BANFFS ARTISAN","10.24","CAD"
"2025-07-18","2025-07-19","Purchase","BANFF BEAR GIFTS","35.68","CAD"
"2025-07-19","2025-07-20","Purchase","NOURISH CAFE","58.15","CAD"
"2025-07-19","2025-07-20","Purchase","THE CANADIAN PACIFIC STOR","1.05","CAD"
"2025-07-19","2025-07-20","Purchase","APPLE.COM/BILL","5.59","CAD"
"2025-07-19","2025-07-20","Purchase","APPLE.COM/BILL","7.83","CAD"
"2025-07-18","2025-07-20","Purchase","BLOCK KITCHEN & BAR","81.16","CAD"
"2025-07-19","2025-07-20","Purchase","BANFF SPRINGS HOTEL CORP","83.01","CAD"
"2025-07-20","2025-07-21","Purchase","CHAN'S KING GEORGE","16.63","CAD"
"2025-07-20","2025-07-21","Purchase","BANFF SPRINGS HOTEL CORP","44.21","CAD"
"2025-07-21","2025-07-21","Purchase","UBER CANADA/UBERTRIP","1.0","CAD"
"2025-07-20","2025-07-22","Purchase","SS SURREY 160TH","26.94","CAD"
"2025-07-23","2025-07-24","Purchase","FREEDOM MOBILE","39.2","CAD"
"2025-07-24","2025-07-25","Purchase","CHAN'S KING GEORGE","9.12","CAD"
"2025-07-24","2025-07-25","Purchase","THE HOME DEPOT #7122","11.54","CAD"
"2025-07-24","2025-07-26","Purchase","SS SURREY 160TH","69.46","CAD"
"2025-07-25","2025-07-26","Purchase","APPLE.COM/BILL","30.78","CAD"
"2025-07-26","2025-07-26","Purchase","TST-PALMS BEACH HOUSE","39.06","CAD"
"2025-07-26","2025-07-26","Refund initiated","THE HOME DEPOT #7122","-7.17","CAD"
"2025-07-26","2025-07-27","Purchase","CANADIAN TIRE #622","12.31","CAD"
"2025-07-26","2025-07-27","Purchase","PIZZA 64 - 13","37.78","CAD"
"2025-07-26","2025-07-27","Purchase","THE HOME DEPOT #7122","18.06","CAD"
"2025-07-26","2025-07-27","Refund settled","THE HOME DEPOT #7122","7.17","CAD"
"2025-07-26","2025-07-27","Refund settled","THE HOME DEPOT #7122","-7.17","CAD"
"2025-07-27","2025-07-28","Purchase","ANAND FASHION MANDI","106.4","CAD"
"2025-07-27","2025-07-28","Purchase","SHOES MANDI","22.4","CAD"
"2025-07-26","2025-07-28","Purchase","WAL-MART SUPERCENTER#5853","50.38","CAD"
"2025-07-26","2025-07-28","Purchase","SAFEWAY #4914","20.62","CAD"
"2025-07-30","2025-07-31","Purchase","TCM @ ST JOSEPH","7.64","CAD"
"2025-07-31","2025-07-31","Purchase","FIELDSTONE BREAD","14.25","CAD"
"2025-07-30","2025-07-31","Purchase","SURREY PARKS REC AND CUL","47.42","CAD"
"2025-07-30","2025-07-31","Purchase","SURREY PARKS REC AND CUL","47.42","CAD"
"2025-07-31","2025-07-31","Purchase","CINEPLEX 8030 WEB QPS","20.63","CAD"
"2025-07-31","2025-08-01","Purchase","ARTIGIANO","6.04","CAD"
"2025-07-31","2025-08-01","Purchase","TIME II DRYCLEAN","19.26","CAD"
"2025-07-31","2025-08-01","Purchase","FAMOUS PLAYER 1405QPS","16.91","CAD"
"2025-08-01","2025-08-02","Purchase","WASHINGTON AVE GRILL","25.42","CAD"
"2025-08-02","2025-08-03","Purchase","SUNGIVEN FOODS CANADA","26.99","CAD"
"2025-08-03","2025-08-03","Purchase","HUMBLE ROOTS CAFE DELI","65.66","CAD"
"2025-08-02","2025-08-03","Purchase","CATCH 122","5.78","CAD"
"2025-08-02","2025-08-03","Purchase","CATCH 122","63.31","CAD"
